"Xyleborus obesus","Xyleborus seriatus","Ambrosiodmus obliquus","Xyleborus glabratus"
0.402824648653588,0.875375708295969,0.940570104155649,0.996039336584682
0.400029434652793,0.873579267005918,0.938844353128133,0.995857497652995
0.397278613109101,0.871785615745742,0.937096276846622,0.995669991188702
0.394571063031015,0.869994815579873,0.935326078750264,0.995476723923611
0.391905702581207,0.868206925365112,0.933533966277253,0.995277602578462
0.389281487320614,0.866422001828815,0.931720150754221,0.995072533878166
0.386697408549055,0.86464009964352,0.929884847285433,0.994861424567157
0.38415249173603,0.862861271498255,0.928028274641821,0.994644181424864
0.381645795035919,0.861085568166686,0.926150655149879,0.9944207112813
0.379176407882175,0.859313038572307,0.924252214580467,0.994190921032772
0.376743449655544,0.857543729850823,0.92233318203756,0.993954717657713
0.374346068421679,0.855777687409889,0.920393789846981,0.993712008232632
0.371983439733859,0.854014954986348,0.918434273445159,0.99346269994819
0.369654765496853,0.852255574701094,0.91645487126796,0.993206700125395
0.367359272888206,0.850499587111701,0.914455824639633,0.992943916231923
