"mutillatus","Ambrosiodmus tachygraphus","Ambrosiodmus obliquus","Euwallacea validus"
0.725527999992396,0.437552131781195,0.367143963074961,0.999999999460791
0.723069249690499,0.433936291401892,0.365186493157558,0.999999999393713
0.720623755992689,0.430366446247746,0.363254559819523,0.999999999319154
0.718191450149098,0.426841890173978,0.361347621803593,0.999999999236373
0.715772262928672,0.423361927116568,0.359465153875348,0.999999999144568
0.713366124665099,0.419925871097087,0.357606646211547,0.999999999042863
0.710972965300482,0.416533046213759,0.355771603817107,0.999999998930313
0.708592714426897,0.413182786619951,0.353959545969158,0.99999999880589
0.706225301325917,0.409874436491201,0.352170005686661,0.999999998668483
0.703870655006217,0.406607349981813,0.350402529224207,0.999999998516889
0.701528704239345,0.403380891171964,0.348656675588691,0.999999998349807
0.699199377593757,0.400194434006213,0.346932016077623,0.999999998165833
0.696882603467185,0.397047362224245,0.34522813383794,0.999999997963449
