"Euwallacea validus","Ambrosiodmus rubricollis","Euwallacea fornicatus","Xyleborus xylographus","Xyleborus germanus","Xyleborus seriatus","Xyleborus obesus","Ambrosiodmus obliquus","Xyleborinus saxeseni","Xylosandrus crassiusculus","Ambrosiodmus tachygraphus","Xyleborus affinis","mutillatus","Coptoborus pseudotenuis","Xylosandrus compactus","Xyleborus glabratus","Xyleborus ferrugineus","Xylosandrus morigerus","Sampsonius dampfi","Xyleborus posticus"
0.886252870249581,0.84799245036114,0.717622857782144,0.982420351943102,0.646850471173839,0.606627762635225,0.435041646555273,0.427498340217141,0.702123503049889,0.812796379881004,0.763399783531724,0.70358541590481,0.745540365219877,0.96805466555375,0.681045488343335,0.999761558674265,0.739268013741464,0.863592904292768,0.856055210660273,0.452545175678309
0.875962439662497,0.831021871591101,0.703869560797697,0.978336348577487,0.634126448556712,0.587399085217628,0.411987911989434,0.407312567172232,0.687325901060242,0.804679146709059,0.739277674063557,0.695189353468111,0.726780031229027,0.962781030754878,0.665855519067022,0.999688680171439,0.728099185807963,0.854436982953082,0.837011713386527,0.435109747283566
0.865800231563782,0.814108083064691,0.690881585860111,0.973768734847067,0.622253342855888,0.569470274871888,0.391113790680175,0.38901410407194,0.673366890671629,0.796979125778751,0.715728714885781,0.687349151333844,0.70877964705969,0.957198063554887,0.651570690821823,0.999602124490038,0.717564140581939,0.845569506507416,0.817748482589446,0.419210199721942
0.855772707485902,0.797310084422157,0.678581056698922,0.968712764598531,0.611127912516831,0.552705698307694,0.37213450881482,0.372345496729702,0.660162421938867,0.789650345908193,0.692820461642443,0.679993313337512,0.691506642135551,0.95132270025346,0.63809689164652,0.999500679985245,0.707592705530479,0.836970397828309,0.7983773501258,0.404636854307729
0.845884675445282,0.780676892063199,0.666901992866267,0.963166520856053,0.600665022014918,0.536988977028139,0.354811395206021,0.357094666744354,0.647640944073611,0.782654622821544,0.67059990375075,0.673063687102432,0.674928235071516,0.945171556457403,0.625354341867182,0.999383131054713,0.698126399185521,0.828622114344884,0.778996237717145,0.391218328986197
0.836139618929601,0.764248981234241,0.655787884486323,0.957130839956311,0.59079355293977,0.522219512318086,0.338943196366049,0.343085231829277,0.635740925715187,0.775959820777075,0.649097464050701,0.66651228154284,0.659012033542805,0.938760941971749,0.613274710330722,0.999248258938727,0.68911586942595,0.820509171533212,0.759690201289681,0.378812882949672
0.826539950066559,0.748059498418575,0.64518987833403,0.950609226727707,0.581453426367468,0.508309773524959,0.324359213385167,0.330169226102604,0.624408985772328,0.769538585564504,0.62833029932908,0.660298990096675,0.643726430303938,0.932106864041389,0.601798946288036,0.999094842497573,0.680519014983839,0.812617782581578,0.740532473806105,0.367302067597919
0.817087207796033,0.732135292147955,0.635065394234239,0.943607757635149,0.572593388403775,0.495183151980989,0.310913850845411,0.318221547477568,0.613598457444023,0.763367400990916,0.608305021866709,0.654389924730851,0.629040858280603,0.925225022829342,0.59087561813572,0.998921658976093,0.67229957880575,0.804935580332978,0.721585496677367,0.356585982676389
0.80778221524511,0.716497796462155,0.625377051552803,0.936134970110568,0.564169332841146,0.482772241734129,0.29848226272631,0.307135668436015,0.603268266705705,0.757425872984285,0.589019939267546,0.648756172650992,0.614925947345216,0.918130801866088,0.580459619437028,0.998727484763066,0.664426075369724,0.79745139890576,0.702901927541893,0.346579673957865
0.79862520624679,0.701163792315364,0.616091823753086,0.928201737308665,0.556143010017494,0.471017447382282,0.286956853983183,0.296820284602026,0.593382043686147,0.751696177390559,0.57046689289158,0.643372852271948,0.601353612165815,0.910839255429791,0.57051114642292,0.998511096151257,0.65687095946835,0.790155099513375,0.684525612627915,0.337210358272368
