"Euwallacea fornicatus","Xyleborus ferrugineus","Xyleborus xylographus","Xyleborus germanus"
0.654904025204015,0.896822455237169,0.488773348296717,0.999999879006649
0.65261226670181,0.89545435991153,0.481547612271568,0.999999866978946
0.65033914010839,0.89408582074943,0.474410182329857,0.999999853910374
0.648084391488517,0.892716896700856,0.46736187878773,0.999999839723943
0.64584777204794,0.891347645481566,0.460403387889604,0.999999824337916
0.643629037988572,0.889978123604093,0.453535268072362,0.999999807665572
0.641427950369077,0.888608386407658,0.446757956159216,0.99999978961496
0.639244274970618,0.887238488087028,0.440071773464899,0.999999770088647
0.6370777821675,0.885868481720374,0.433476931795984,0.99999974898345
0.634928246802517,0.884498419296182,0.426973539332091,0.999999726190172
0.632795448066747,0.883128351739248,0.420561606375683,0.99999970159331
0.630679169383628,0.881758328935811,0.414241050959903,0.999999675070767
0.628579198297098,0.880388399757855,0.408011704305575,0.999999646493544
