"Sampsonius dampfi","Xyleborus affinis","Xyleborus posticus","Ambrosiodmus obliquus"
0.505054880982618,0.998152393166722,0.31452249176417,0.210385401282787
0.499149309923768,0.998105846646526,0.312718402820481,0.208863569935149
0.493310697139942,0.998058675597993,0.310940258323697,0.207366915233963
0.487539109366181,0.998010878910561,0.309187451253225,0.205894784530113
0.481834557799722,0.997962455488289,0.307459394365394,0.204446548201726
0.47619700114777,0.997913404249636,0.30575551936611,0.203021598627528
0.470626348575751,0.997863724127232,0.304075276125783,0.201619349215441
0.465122462555785,0.997813414067669,0.302418131933988,0.200239233482936
0.459685161615468,0.997762473031291,0.300783570791467,0.198880704185924
0.454314222987412,0.997710899991991,0.299171092737289,0.19754323249319
0.449009385160278,0.997658693937019,0.297580213209073,0.196226307203573
0.443770350332333,0.997605853866789,0.296010462434396,0.194929434003326
0.438596786768778,0.997552378794697,0.294461384851551,0.193652134761212
0.433488331064319,0.997498267746942,0.292932538558018,0.192393946859122
0.428444590312633,0.997443519762353,0.291423494785058,0.191154422556109
0.423465144184551,0.997388133892221,0.289933837396987,0.18993312838388
0.418549546916898,0.997332109200132,0.288463162413747,0.188729644571943
0.413697329214063,0.997275444761815,0.287011077555505,0.187543564500684
0.408908000064456,0.99721813966498,0.285577201808083,0.186374494180814
0.404181048474103,0.997160193009175,0.284161165008074,0.185222051757676
0.399515945119659,0.997101603905633,0.282762607446619,0.184085867039028
0.394912143923211,0.997042371477135,0.281381179490835,0.182965581045017
0.390369083551238,0.996982494857872,0.280016541221973,0.181860845579098
0.385886188840128,0.996921973193306,0.278668362089434,0.180771322818781
0.38146287215067,0.996860805640044,0.277336320579816,0.17969668492512
0.37709853465393,0.996798991365707,0.276020103900237,0.178636613669943
0.372792567550899,0.996736529548809,0.274719407675189,0.177590800079889
0.368544353228326,0.996673419378633,0.273433935656249,0.176558944096343
0.364353266353058,0.996609660055115,0.272163399444007,0.175540754250471
0.360218674907248,0.996545250788728,0.270907518221599,0.174535947352537
0.356139941166704,0.996480190800373,0.269666018499276,0.173544248194791
0.352116422624643,0.996414479321266,0.268438633869469,0.172565389267226
0.348147472863059,0.996348115592832,0.267225104771841,0.17159911048555
0.344232442373852,0.996281098866605,0.266025178267843,0.170645158930763
0.340370679331849,0.996213428404122,0.264838607824327,0.169703288599756
0.33656153032176,0.996145103476826,0.263665153105784,0.168773260166388
0.332804341021077,0.99607612336597,0.262504579774796,0.167854840752531
0.329098456840869,0.996006487362523,0.261356659300323,0.166947803708582
0.325443223526344,0.995936194767076,0.260221168773468,0.166051928403002
0.32183798771904,0.995865244889754,0.259097890730365,0.165167000020433
0.318282097482392,0.995793637050127,0.257986612981871,0.164292809367995
0.314774902792402,0.995721370577124,0.256887128449759,0.163429152689361
0.311315755995074,0.995648444808952,0.2557992350091,0.162575831486266
0.307904012232203,0.995574859093011,0.254722735336588,0.161732652347077
0.304539029837069,0.995500612785812,0.253657436764516,0.16089942678212
0.301220170701514,0.995425705252906,0.252603151140169,0.160075971065433
0.297946800615842,0.995350135868799,0.251559694690392,0.159262106082667
0.294718289582898,0.995273904016882,0.250526887891118,0.158457657184849
0.291534012107672,0.995197009089357,0.249504555341623,0.157662454047737
0.288393347463668,0.995119450487164,0.248492525643323,0.156876330536528
0.28529567993728,0.995041227619911,0.247490631282916,0.156099124575671
0.282240399051316,0.994962339905806,0.246498708519678,0.15533067802357
0.27922689976881,0.994882786771589,0.245516597276742,0.154570836551948
0.276254582678166,0.994802567652468,0.244544141036207,0.153819449529678
0.273322854160687,0.994721681992049,0.24358118673789,0.153076369910892
0.27043112654143,0.994640129242281,0.242627584681605,0.152341454127172
0.267578818224356,0.994557908863385,0.241683188432793,0.151614561983654
0.264765353812645,0.994475020323802,0.240747854731394,0.150895556558885
0.26199016421503,0.994391463100125,0.239821443403811,0.150184304108264
0.259252686738971,0.994307236677049,0.238903817277851,0.149480673970917
0.256552365171437,0.994222340547306,0.237994842100518,0.148784538479882
0.25388864984803,0.994136774211616,0.23709438645856,0.148095772875433
0.251260997711163,0.994050537178626,0.23620232170164,0.147414255221451
0.248668872357948,0.99396362896486,0.235318521868045,0.146739866324685
0.246111744078448,0.993876049094664,0.234442863612828,0.146072489656809
0.243589089884872,0.993787797100155,0.233575226138289,0.145412011279148
0.241100393532319,0.993698872521169,0.232715491126707,0.144758319769975
0.238645145531591,0.993609274905214,0.231863542675234,0.144111306154269
0.236222843154605,0.993519003807417,0.231019267232878,0.143470863835836
0.2338329904329,0.993428058790476,0.230182553539478,0.142836888531716
0.231475098149695,0.993336439424618,0.229353292566618,0.142209278208756
0.229148683825954,0.993244145287545,0.228531377460391,0.1415879330223
0.226853271700862,0.993151175964394,0.227716703485956,0.140972755256882
0.224588392707127,0.993057531047688,0.226909167973814,0.140363649268865
0.222353584441471,0.992963210137297,0.22610867026774,0.13976052143095
0.220148391130669,0.99286821284039,0.225315111674323,0.139163280078473
0.217972363593487,0.992772538771394,0.224528395414035,0.138571835457427
0.215825059198809,0.992676187551953,0.223748426573796,0.137986099674155
0.213706041820284,0.992579158810884,0.222975112060962,0.137405986646634
0.211614881787765,0.992481452184143,0.222208360558701,0.136831412057304
0.209551155835799,0.992383067314776,0.2214480824827,0.136262293307374
0.207514447049443,0.992284003852889,0.220694189939151,0.135698549472563
0.205504344807629,0.992184261455602,0.219946596683988,0.135140101260218
0.203520444724302,0.992083839787017,0.219205218083313,0.134586870967744
0.201562348587566,0.991982738518177,0.218469971074983,0.134038782442335
0.199629664297,0.99188095732703,0.217740774131307,0.133495761041916
0.197722005799376,0.991778495898395,0.217017547222829,0.132957733597283
0.195838993022921,0.991675353923924,0.216300211783144,0.132424628375389
0.193980251810301,0.991571531102069,0.215588690674726,0.131896375043734
