"pd","t88","t164","t9","t139","t191","t278","t281","t169","t93","t184","t77","t30","t197","t243","t201","t248","t110","t224","t287","t111","t226","t138","t210","t27","t22","t275","t300","t249","t15","t78","t295","t255","t92","t60","t253","t52","t106","t4","t91","t230","t130","t80","t85","t121","t145","t229","t190","t142","t289"
495,0.113257904284493,0.116523649430172,0.0323086067137482,0.119252469182727,0.119252469182727,0.178940593433323,0.267437862304312,0.15232878920196,0.0342409534311273,0.0365913043018537,0.222131713965246,0.0470322889137655,0.0470322889137654,0.124752480198648,0.216737582001501,0.216737582001501,0.284544713953016,0.20038279115141,0.0435974187305803,0.10175421403443,0.10175421403443,0.120232893986362,0.120232893986362,0.0654526027809423,0.127287131642695,0.136427621541713,0.136427621541712,0.0509339984079201,0.0314201091788189,0.031420109178819,0.0440570756857149,0.0440570756857149,0.0481532767845982,0.0481532767845982,0.0355128372235628,0.0355128372235626,0.0979207403216898,0.0979207403216895,0.202130915715714,0.0377811078760616,0.0377811078760618,0.0983488222844877,0.0983488222844876,0.0881187654363028,0.088118765436303,0.0881162751010631,0.0881162751010631,0.0524514161750819,0.0524514161750818
496,0.113186732726076,0.116456348017684,0.0322290858520747,0.119199613424923,0.119199613424923,0.178961477913873,0.267598049533307,0.15231245887711,0.0341599691532564,0.0365106989582926,0.222216711861725,0.0469446799020151,0.046944679902015,0.124701468812764,0.216814009418411,0.216814009418411,0.284743249477526,0.200440950707438,0.0435141063046129,0.101692452368415,0.101692452368415,0.120177088317644,0.120177088317644,0.0653616170496059,0.127239095066483,0.136392840928604,0.136392840928603,0.0508487056274543,0.0313410891234059,0.0313410891234059,0.0439736879712355,0.0439736879712355,0.0480655782495175,0.0480655782495175,0.0354310033311247,0.0354310033311245,0.0978571612226609,0.0978571612226607,0.202191791108683,0.0376999220508795,0.0376999220508798,0.0982856587003724,0.0982856587003723,0.0880482463352081,0.0880482463352083,0.0880457706788936,0.0880457706788936,0.0523660881348511,0.0523660881348511
497,0.113115743127813,0.116389215533627,0.0321499134829455,0.119146884106727,0.119146884106727,0.17898232231592,0.267757975471973,0.152296162808877,0.0340793318808544,0.0364304259686653,0.222301562067338,0.0468574016903364,0.0468574016903364,0.124650577796472,0.216890302641162,0.216890302641162,0.284941469038969,0.200499005969361,0.0434311128592874,0.101630847992337,0.101630847992337,0.12012141711922,0.12012141711922,0.0652709314956731,0.12719117048594,0.136358137670647,0.136358137670647,0.0507637190721658,0.0312624196404901,0.0312624196404901,0.0438906179999491,0.0438906179999492,0.0479782072053024,0.0479782072053024,0.03534951504419,0.0353495150441899,0.0977937466161024,0.0977937466161021,0.202252557784026,0.0376190665439119,0.0376190665439122,0.0982226581164898,0.0982226581164897,0.0879779198173142,0.0879779198173144,0.0879754587908607,0.0879754587908607,0.0522810623661868,0.0522810623661867
498,0.113044934667619,0.116322251221908,0.032071087415621,0.119094280675471,0.119094280675471,0.179003126796501,0.267917641028293,0.152279900856895,0.0339990394663794,0.036350483328633,0.222386265127459,0.0467704523987741,0.046770452398774,0.124599806627295,0.21696646216892,0.21696646216892,0.285139373696874,0.200556957330635,0.0433484365638238,0.101569400196083,0.101569400196083,0.120065879801275,0.120065879801275,0.065180544553346,0.127143357417824,0.136323511441692,0.136323511441692,0.0506790370563555,0.0311840985074105,0.0311840985074106,0.0438078639538827,0.0438078639538827,0.0478911618041157,0.0478911618041157,0.0352683702451151,0.0352683702451149,0.0977304957531692,0.097730495753169,0.202313216150853,0.0375385393809776,0.0375385393809779,0.09815981979178,0.0981598197917799,0.0879077849801908,0.087907784980191,0.0879053385347858,0.0879053385347857,0.0521963372192309,0.0521963372192309
499,0.112974306528741,0.116255454331309,0.031992605477271,0.119041802582001,0.119041802582001,0.179023891511726,0.268077047105337,0.152263672881651,0.0339190897796389,0.0362708690497449,0.222470821584368,0.0466838301616298,0.0466838301616297,0.12454915478606,0.217042488498007,0.217042488498007,0.285336964505212,0.200614805182447,0.0432660756014349,0.101508108274149,0.101508108274149,0.120010475777747,0.120010475777747,0.0650904546679984,0.127095655381932,0.136288961917609,0.136288961917609,0.0505946579068247,0.0311061235197937,0.0311061235197937,0.0437254240289264,0.0437254240289265,0.0478044402120615,0.0478044402120615,0.0351875668332362,0.035187566833236,0.0976674078898994,0.0976674078898992,0.202373766615922,0.0374583386034401,0.0374583386034404,0.098097142990011,0.098097142990011,0.0878378409274042,0.0878378409274045,0.0878354090144844,0.0878354090144844,0.052111911056287,0.052111911056287
500,0.112903857899706,0.116188824115442,0.0319144655127951,0.11898944928064,0.11898944928064,0.179044616616783,0.268236194601304,0.152247478744482,0.0338394807076174,0.0361915811592823,0.22255523197728,0.0465975331273278,0.0465975331273277,0.12449862175687,0.21711838212192,0.21711838212192,0.285534242512432,0.200672549913737,0.0431840281691932,0.101446971525593,0.101446971525593,0.119955204466296,0.119955204466295,0.0650006602960737,0.127048063901082,0.136254488776279,0.136254488776278,0.0505105799627596,0.0310284924913692,0.0310284924913692,0.0436432964347023,0.0436432964347023,0.0477180406090542,0.0477180406090542,0.0351071027247017,0.0351071027247016,0.0976044822871723,0.097604482287172,0.202434209583659,0.0373784622680554,0.0373784622680557,0.0980346269797378,0.0980346269797377,0.0877680867684653,0.0877680867684655,0.0877656693397155,0.0877656693397155,0.0520277822517072,0.0520277822517071
501,0.112833587974286,0.11612235983271,0.0318366653846443,0.118937220229162,0.118937220229162,0.179065302265947,0.268395084409558,0.152231318307565,0.0337602101543057,0.0361126177001048,0.222639496842366,0.0465115594582809,0.0465115594582808,0.124448207027072,0.217194143531357,0.217194143531357,0.285731208761502,0.200730191911215,0.0431022924778982,0.101385989254004,0.101385989254004,0.119900065288273,0.119900065288273,0.0649111599049855,0.127000582501084,0.136220091697569,0.136220091697569,0.0504268015756149,0.0309512032537867,0.0309512032537868,0.0435614793944331,0.0435614793944331,0.0476319611886881,0.0476319611886881,0.0350269758523061,0.035026975852306,0.0975417182106672,0.097541718210667,0.202494545456175,0.0372989084468227,0.037298908446823,0.0979722710342616,0.0979722710342615,0.0876985216187785,0.0876985216187788,0.0876961186261298,0.0876961186261297,0.0519439491917804,0.0519439491917803
502,0.112763495951446,0.11605606074627,0.0317592029726459,0.118885114888766,0.118885114888766,0.179085948612586,0.268553717418659,0.152215191433911,0.0336812760405319,0.0360339767304977,0.222723616712772,0.0464259073307584,0.0464259073307582,0.124397910087239,0.217269773214235,0.217269773214235,0.28592786428995,0.200787731559378,0.0430208667519466,0.101325160767458,0.101325160767458,0.11984505766869,0.119845057668689,0.0648219519730187,0.126953210710716,0.136185770363325,0.136185770363324,0.0503433211090006,0.0308742536564364,0.0308742536564364,0.0434799711448133,0.0434799711448134,0.0475462001581089,0.0475462001581089,0.0349471841653255,0.0349471841653253,0.0974791149308235,0.0974791149308233,0.202554774633284,0.0372196752268352,0.0372196752268355,0.0979100744315896,0.0979100744315895,0.0876291445995918,0.0876291445995921,0.0876267559952195,0.0876267559952194,0.051860410274622,0.051860410274622
503,0.112693581035306,0.115989926123989,0.0316820761738292,0.118833132724042,0.118833132724043,0.17910655580917,0.268712094512402,0.152199097987361,0.0336026763037953,0.0359556563240213,0.22280759211865,0.0463405749347556,0.0463405749347554,0.124347730431136,0.217345271655714,0.217345271655714,0.2861242101299,0.200845169240526,0.0429397492292031,0.101264485378484,0.101264485378484,0.119790181036188,0.119790181036188,0.0647330349892313,0.1269059480617,0.136151524457348,0.136151524457348,0.0502601369385691,0.0307976415662698,0.0307976415662699,0.0433987699358822,0.0433987699358822,0.0474607557378858,0.0474607557378858,0.0348677256293555,0.0348677256293553,0.0974166717228,0.0974166717227997,0.202614897512519,0.0371407607101347,0.037140760710135,0.097848036454396,0.097848036454396,0.0875599548379462,0.0875599548379463,0.0875575805742683,0.0875575805742682,0.0517771639100653,0.0517771639100652
504,0.112623842435094,0.115923955238404,0.0316052829022545,0.118781273202951,0.118781273202951,0.179127124007274,0.26887021656985,0.152183037832575,0.0335244088981011,0.035877654569363,0.222891423587176,0.0462555604738648,0.0462555604738647,0.124297667555698,0.217420639338215,0.217420639338215,0.286320247308112,0.200902505334781,0.0428589381608727,0.101203962404024,0.101203962404024,0.11973543482301,0.11973543482301,0.0646444074533581,0.126858794088677,0.136117353665383,0.136117353665383,0.0501772474519039,0.0307213648676249,0.0307213648676249,0.0433178740308968,0.0433178740308968,0.0473756261618868,0.0473756261618868,0.0347885982261514,0.0347885982261512,0.0973543878664353,0.097354387866435,0.202674914489152,0.0370621630135659,0.0370621630135663,0.0977861563899821,0.0977861563899821,0.0874909514666263,0.0874909514666265,0.0874885914963021,0.0874885914963021,0.0516942085195526,0.0516942085195525
