"Xyleborus xylographus","Xyleborus obesus","Xyleborinus saxeseni","Coptoborus pseudotenuis","Xyleborus posticus","Ambrosiodmus obliquus","Xyleborus seriatus","Xyleborus affinis","mutillatus","Xyleborus ferrugineus","Ambrosiodmus rubricollis","Ambrosiodmus tachygraphus","Xylosandrus compactus","Xyleborus germanus","Euwallacea validus","Euwallacea fornicatus","Xyleborus glabratus","Xylosandrus crassiusculus","Sampsonius dampfi","Xylosandrus morigerus"
0.828931617243458,0.214170860028355,0.503051720731074,0.833594163537231,0.272620132052001,0.228420981380165,0.37380556494149,0.609296721127552,0.467483565152221,0.597320433335985,0.569719202086066,0.432319416196476,0.52834091132641,0.522080919876346,0.706329572037567,0.553758698953732,0.995777234583926,0.715765233032343,0.528168721619588,0.700488587344732
0.816994598375359,0.208022760491457,0.496454479453656,0.824931809657816,0.267201102746871,0.222782354108189,0.366684348213486,0.60551540939412,0.458479014676334,0.591980380318405,0.557745644161699,0.420040781946871,0.521291185002043,0.516440306144322,0.698528149297549,0.547225120220769,0.995311489069688,0.711501337598869,0.514009842264279,0.694668863322687
0.804843643262554,0.202201018614072,0.490074731001013,0.816219309343966,0.262025357512091,0.217423766951747,0.359851572443021,0.60184603557276,0.44979541223338,0.586794684446041,0.546100370886172,0.408258055863171,0.514464532539438,0.510980661058521,0.69087172573824,0.540890253523494,0.994812458550053,0.707341303810999,0.500293609600505,0.688980187702113
0.79250540568949,0.196680858366122,0.48390060703846,0.807466889783976,0.257075982404988,0.212324612834986,0.353289409124701,0.598282225927429,0.441416524772958,0.581755217428191,0.534776449123977,0.396948908282496,0.507849463515289,0.505691857015773,0.683357145820778,0.534743888048205,0.994279006786889,0.703280041740509,0.487012257905256,0.683417183710582
0.780006306526417,0.191439916465842,0.477921154669385,0.798684301325702,0.252337644550989,0.207466272745625,0.346981506498399,0.594818144328411,0.433327156311924,0.576854483886906,0.523766577893475,0.386091757539473,0.501435320943377,0.500564583969666,0.675981285917255,0.52877656707834,0.993710005726887,0.699312846788321,0.474156923983144,0.677974815422494
0.76737237329973,0.186457958645999,0.472126244773775,0.789880822090615,0.247796407712266,0.202831880390399,0.340912836682463,0.591448432670092,0.425513070095111,0.572085556024274,0.513063185464698,0.375665817285273,0.495212202611627,0.495590263201676,0.668741060990152,0.522979514745652,0.993104336441579,0.695435360257308,0.461717881213046,0.672648357662464
0.754629094214971,0.181716634692679,0.466506491634609,0.781065263951368,0.243439573492797,0.198406119646248,0.335069561738682,0.588168159398939,0.417960917211597,0.567442016655782,0.502658511973918,0.365651124612591,0.489170891600745,0.490760972276756,0.661633430007878,0.517344571619085,0.992460890082515,0.691643534972892,0.449684741091533,0.667433369343808
0.741801287313616,0.177199266262026,0.461053182205484,0.772245979756772,0.239255544064487,0.194175049578004,0.329438915946502,0.584972774852659,0.410658171119901,0.56291790933797,0.492544679486159,0.356028553035817,0.483302794706369,0.486069379470284,0.654655400293327,0.511864137859124,0.991778568851038,0.687933605181354,0.438046625981027,0.66232566976237
0.728912985146928,0.172890662508526,0.455758213649643,0.763430871684435,0.235233703044832,0.190125952727939,0.324009102008848,0.581858072349311,0.403593067574625,0.558507694541131,0.482713751188093,0.346779813625898,0.477599887693104,0.481508686254311,0.647804030970374,0.506531122877484,0.991056286981919,0.68430206009116,0.42679231645766,0.657321317444747
0.715987335071523,0.168776959393924,0.450614038004825,0.754627400600115,0.231364311752464,0.186247203132735,0.31876919927549,0.578820154154132,0.396754549486136,0.554206210996518,0.473157781176773,0.337887446982032,0.472054666477313,0.477072576672679,0.641076435646941,0.501338900614079,0.990292971740026,0.680745620531288,0.415910376342495,0.65241659121393
0.703046515017314,0.164845479227671,0.445613613011246,0.745842596303763,0.227638418545716,0.182528151129067,0.313709082368641,0.575855401603287,0.39013221628299,0.55000864149196,0.463868856120279,0.329334808214628,0.466660103474051,0.472755172629762,0.634469784451593,0.496281269683658,0.989487564429004,0.677261218288193,0.405389258197947,0.647607973187723
0.690111664353163,0.161084607548388,0.44075035828989,0.737083068544754,0.224047779336418,0.178959022500264,0.308819348842104,0.572960448785622,0.383716277383038,0.545910482507253,0.454839129901076,0.321106046697025,0.46140960845783,0.468550994276154,0.627981305522595,0.491352417759788,0.988639021410869,0.673845977754249,0.395217391784119,0.642892133468348
0.677202829281334,0.157483684915389,0.436018116181876,0.728355018692664,0.220584787685639,0.175530829917081,0.304091254709872,0.570132159282385,0.37749750941332,0.541907517176695,0.446060852208688,0.313186082001544,0.456296993381875,0.464454924804253,0.621608286033367,0.48654688965897,0.987746315135295,0.670497199578702,0.385383257700761,0.638265916317198
0.664338922029965,0.154032911558713,0.431411116662002,0.719664251954783,0.217242413144941,0.172235294953749,0.29951665685046,0.567367605545383,0.371467216850633,0.537995791145119,0.43752639192235,0.305560577155365,0.451316440679709,0.46046217907311,0.615348072825726,0.481859558666632,0.986808435177217,0.667212346059863,0.375875448191494,0.633726327638324
0.651537692983279,0.150723263150639,0.426923945824748,0.71101619003717,0.214014146717614,0.169064779230427,0.29508796143581,0.564664050560059,0.365617195784056,0.534171590948984,0.429228256014527,0.29821591012271,0.446462474639267,0.456568275569845,0.609198072711727,0.477285600712496,0.985824389281336,0.663989028056778,0.36668271685867,0.629270523618936
0.638815714791105,0.147546416223212,0.422551517512249,0.702415884152179,0.210893952488147,0.166012223456262,0.290798077653261,0.562018931494291,0.359939700527729,0.530431424608246,0.421159104610359,0.291139144232751,0.441729935495631,0.452769011287805,0.603155752496066,0.472820471057869,0.984793204411946,0.660824993231229,0.357794018829683,0.624895800395942
0.626188377430945,0.144494681974632,0.418289047713548,0.693868028281915,0.207876224612224,0.16307109333233,0.286640376090007,0.559429845078698,0.354427412836925,0.52677200415992,0.413311762754552,0.284317998120197,0.437113955935688,0.449060439162442,0.597218638763437,0.468459883203748,0.983713927806447,0.65771811545825,0.349198542728207,0.620599584635076
