"Xylosandrus compactus","Xyleborus affinis","Xyleborus glabratus","Xylosandrus crassiusculus","Ambrosiodmus obliquus","Coptoborus pseudotenuis","Xyleborus germanus","Sampsonius dampfi","Euwallacea validus","Xyleborinus saxeseni","Xyleborus obesus","mutillatus","Xyleborus ferrugineus","Ambrosiodmus tachygraphus","Euwallacea fornicatus","Xyleborus posticus","Xylosandrus morigerus","Xyleborus xylographus","Xyleborus seriatus","Ambrosiodmus rubricollis"
0.603454372170811,0.650650025500396,0.998946879882784,0.760301929529031,0.305587717226475,0.909276571271488,0.581316006416762,0.718288812269642,0.812154941968545,0.610421884248507,0.301300821302248,0.593576538034441,0.668645807413864,0.588155794723241,0.631690772614075,0.347251443070912,0.785812841134759,0.943437933352693,0.468860516436977,0.716835892404552
0.593333160060594,0.645247430506587,0.998764045901545,0.754562810837547,0.295331775351664,0.90144502409311,0.573121200153194,0.700184822754217,0.80310418344551,0.600457781788111,0.28968471219997,0.580083965001813,0.66107367448313,0.569608919268504,0.622362356148685,0.337904158354667,0.778433125336654,0.936204790300689,0.457332121119018,0.701496685713519
0.583631621124289,0.640073855028261,0.998560799876586,0.749018378427367,0.285764433022696,0.893442586830107,0.565288802668974,0.682362906243643,0.794193225272781,0.590902005887871,0.278885383626902,0.567137459882725,0.653793672712632,0.551783157315945,0.613404166538105,0.329128863089127,0.771246378046742,0.928532889894586,0.446408373937244,0.686472691791204
0.574320641389017,0.635110481675479,0.998336012343938,0.743654936991673,0.276817613218156,0.885285029882145,0.557790297505508,0.664856511916344,0.785421864693043,0.581726331652429,0.268821742197373,0.554707102972839,0.646784618790456,0.534661295040639,0.604790614062636,0.32087131647742,0.764242762969336,0.920433192821797,0.436040719808214,0.671773426519239
0.565374006582982,0.63034077043567,0.998088551729541,0.738460283151655,0.268432007914978,0.876987583294473,0.550600422096888,0.647692934732386,0.776789540569441,0.572905349034811,0.25942289638971,0.54276487889308,0.640027631090171,0.518223419204917,0.596498702665145,0.313084181160932,0.757413271109378,0.911918575362489,0.426185845960625,0.657405465124174
0.556768021744397,0.625750099881165,0.997817285142309,0.733423487370243,0.260555700445501,0.868564931231254,0.543696683647571,0.630893983299563,0.768295392726188,0.564416092100077,0.2506266254122,0.531284561699974,0.633505797317412,0.502447717802011,0.588507680456134,0.305725930217224,0.750749619891177,0.903003694605552,0.416804972287871,0.643372874156981
0.548481192882723,0.621325477092008,0.997521079172309,0.728534715351908,0.253143041161703,0.860031207507356,0.537058963079237,0.614476604612376,0.759938311735833,0.556237729076268,0.242378111804494,0.520241601452321,0.627203901488237,0.487311122720888,0.580798748910692,0.298759959552738,0.744244168409945,0.893704842504577,0.407863256991115,0.629677587275465
0.540493958619343,0.617055300967426,0.997198800696556,0.723785080500276,0.246153723407599,0.851399992479718,0.530669188271737,0.598453463235988,0.751716980904314,0.548351301303393,0.234628887045803,0.509613014235982,0.621108197744369,0.472789822385263,0.573354819019777,0.292153861316803,0.737889845661582,0.88403979038822,0.399329295702227,0.616319732074584
0.532788462449373,0.612929167466455,0.996849317694445,0.719166521057457,0.239552019164888,0.842684311485497,0.524511062376448,0.582833473967941,0.743629911831565,0.540739501877653,0.227335950111652,0.499377276891209,0.615206221516027,0.458859667660941,0.566160305362668,0.285878824733849,0.731680089315999,0.874027625759364,0.391174696974722,0.603297914190143
0.525348358292385,0.608937708104444,0.996471500074429,0.714671697044288,0.233306142933935,0.833896634927443,0.518569836304438,0.567622288189094,0.735675474643367,0.533386486790266,0.220461027178901,0.489514227162083,0.609486630741775,0.445496490396406,0.559200951071461,0.279909138634532,0.725608793133305,0.863688583370768,0.3833737205967,0.59060946406303
