"Xyleborus affinis","Xyleborus xylographus","Euwallacea fornicatus","Xyleborinus saxeseni","mutillatus","Ambrosiodmus obliquus","Xyleborus glabratus","Xyleborus seriatus","Xyleborus germanus","Euwallacea validus","Xyleborus ferrugineus"
0.924912075858766,0.505640235243422,0.60624276704889,0.42832599054252,0.29589350721938,0.155088742218402,0.957279677790545,0.25909574481424,0.438993545129529,0.556364550828295,0.679367232849467
0.92358536758093,0.496788618294124,0.60289821487877,0.425804598872572,0.293110671243795,0.153410731504301,0.955474324019482,0.256905676015665,0.437084942920847,0.55276427513935,0.676750116735209
0.922255932340534,0.488061042639846,0.599590350108912,0.423321758818531,0.290381283041161,0.151770454792414,0.9536227835916,0.25475771316776,0.435204489680936,0.549208230900449,0.674158213307275
0.920923867745701,0.479459315128099,0.596318572554651,0.420876487374973,0.287703796542701,0.150166630159664,0.951724829842559,0.252650587837759,0.433351446015785,0.545695636514207,0.671591095509113
0.91958926933901,0.470984946278283,0.593082295047196,0.418467837091339,0.285076725284055,0.148598033695248,0.949780258804106,0.250583083636958,0.431525100721323,0.542225727903432,0.669048347377931
0.918252230658586,0.462639166023965,0.589880943082887,0.416094894396936,0.282498639539426,0.147063496233078,0.947788889508349,0.248554033520336,0.429724769373013,0.538797758055588,0.666529563637847
0.916912843296474,0.454422939313573,0.586713954483712,0.413756778023391,0.279968163620575,0.145561900303745,0.945750564272275,0.246562317255391,0.42794979300268,0.535410996579583,0.664034349312799
0.915571196954471,0.446336981495791,0.583580779068694,0.411452637517826,0.277483973329612,0.144092177288937,0.943665148961808,0.244606859047769,0.426199536856166,0.532064729274597,0.661562319358006
0.914227379497539,0.438381773425472,0.580480878335707,0.409181651840532,0.275044793555435,0.142653304762722,0.94153253323469,0.242686625312327,0.424473389225932,0.528758257710716,0.659113098308875
0.912881477004963,0.430557576234901,0.577413725153375,0.406943028041423,0.27264939600437,0.141244304005473,0.939352630761522,0.240800622579204,0.422770760353242,0.52549089882109,0.656686319946304
0.911533573819372,0.422864445723601,0.574378803462656,0.404736000010001,0.270296597056322,0.139864237677458,0.937125379424343,0.238947895525327,0.421091081395001,0.522261984505352,0.654281626977424
0.910183752593733,0.415302246327682,0.571375607987773,0.402559827293974,0.267985255738357,0.138512207640191,0.934850741492134,0.237127525122561,0.419433803450705,0.519070861244035,0.651898670730892
0.908832094336452,0.407870664636905,0.568403643956145,0.400413793982032,0.265714271808243,0.137187352914689,0.932528703772712,0.235338626894415,0.417798396645367,0.515916889723702,0.649537110865888
0.907478678454664,0.400569222434238,0.565462426826999,0.398297207646639,0.263482583941006,0.135888847766641,0.930159277740477,0.233580349273853,0.416184349264571,0.512799444472534,0.647196615094057
0.906123582795826,0.393397289238606,0.562551482028344,0.396209398343003,0.261289168012076,0.134615899909356,0.927742499639557,0.231851872055352,0.414591166938147,0.509717913506091,0.644876858913669
0.904766883687693,0.386354094337029,0.559670344702021,0.394149717660668,0.259133035471029,0.133367748816096,0.925278430561915,0.230152404934869,0.413018371869201,0.506671697982992,0.642577525355315
0.903408655976766,0.379438738297116,0.556818559456518,0.392117537824439,0.257013231800381,0.132143664134056,0.922767156500033,0.228481186131894,0.411465502105523,0.503660211870244,0.64029830473853
0.902048973065288,0.372650203955277,0.553995680127309,0.390112250841588,0.254928835054252,0.130942944192914,0.920208788373854,0.226837481088157,0.409932110850583,0.500682881617956,0.638038894438732
