"Xylosandrus compactus","Xyleborus ferrugineus","Sampsonius dampfi","Coptoborus pseudotenuis"
1,0.915838848938613,0.565362750765198,0.814876823119852
1,0.915047812550423,0.559756412589471,0.811452364169556
1,0.914257489757157,0.554187150568305,0.808012015711203
1,0.913467885894187,0.548655763938656,0.804556380703086
1,0.91267900616021,0.543163003961264,0.801086060650496
1,0.911890855620804,0.537709575012721,0.797601655305061
1,0.911103439211866,0.5322961356994,0.794103762371177
1,0.910316761742927,0.526923299989515,0.790592977219679
1,0.909530827900361,0.521591638359905,0.787069892608893
1,0.908745642250495,0.516301678954174,0.783535098413172
1,0.907961209242608,0.511053908749143,0.779989181359045
1,0.907177533211835,0.505848774726612,0.77643272476905
1,0.906394618381983,0.500686685047721,0.772866308313359
1,0.905612468868252,0.495568010227294,0.769290507769248
1,0.904831088679875,0.490493084305758,0.765705894788471
1,0.90405048172267,0.485462206016378,0.762113036672595
