"Family","Genus"
"Acanthaceae","Sanchezia"
"Acanthaceae","Sapphoa"
"Acanthaceae","Sarojusticia"
"Acanthaceae","Sarotheca"
"Acanthaceae","Satanocrater"
"Acanthaceae","Sautiera"
"Acanthaceae","Schaueria"
"Acanthaceae","Schawbea"
"Acanthaceae","Schwabea"
"Acanthaceae","Sclerochiton"
"Acanthaceae","Scorodoxylum"
"Acanthaceae","Sebastiano-schaueria"
"Acanthaceae","Sebschauera"
"Acanthaceae","Semnostachya"
"Acanthaceae","Semnothyrsus"
"Acanthaceae","Senkebergia"
"Acanthaceae","Sericobonia"
"Acanthaceae","Sericocalyx"
"Acanthaceae","Sericographis"
"Acanthaceae","Sericospora"
"Acanthaceae","Siphonacanthus"
"Acanthaceae","Siphoneranthemum"
"Acanthaceae","Siphonoglossa"
"Acanthaceae","Solaenacanthus"
"Acanthaceae","Solenostyles"
"Acanthaceae","Sooia"
"Acanthaceae","Spathacanthus"
"Acanthaceae","Sphacanthus"
"Acanthaceae","Sphinctacanthus"
"Acanthaceae","Spirostigma"
"Acanthaceae","Stachyacanthus"
"Acanthaceae","Staurogyne"
"Acanthaceae","Staurogynopsis"
"Acanthaceae","Stemonacanthus"
"Acanthaceae","Stenandriopsis"
"Acanthaceae","Stenandrium"
"Acanthaceae","Stenosiphonium"
"Acanthaceae","Stenostephanus"
"Acanthaceae","Stenothyrsus"
"Acanthaceae","Stephanophysum"
"Acanthaceae","Streblacanthus"
"Acanthaceae","Streptosiphon"
"Acanthaceae","Strobilacanthus"
"Acanthaceae","Strobilanthes"
"Acanthaceae","Strobilanthopsis"
"Acanthaceae","Strobilanthus"
"Acanthaceae","Strophacanthus"
"Acanthaceae","Stylarthropus"
"Acanthaceae","Suessenguthia"
"Acanthaceae","Symplectochilus"
"Acanthaceae","Synnema"
"Acanthaceae","Syringidium"
"Acanthaceae","Taeniandra"
"Acanthaceae","Talbotia"
"Acanthaceae","Teliostachya"
"Acanthaceae","Tessmanniacanthus"
"Acanthaceae","Tetraglochidium"
"Acanthaceae","Tetramerium"
"Acanthaceae","Thelepaepale"
"Acanthaceae","Thunbergia"
"Acanthaceae","Thyrsacanthus"
"Acanthaceae","Thysanostigma"
"Acanthaceae","Tremacanthus"
"Acanthaceae","Triaenacanthus"
"Acanthaceae","Triaenanthus"
"Acanthaceae","Trichacanthus"
"Acanthaceae","Trichanthera"
"Acanthaceae","Trichaulax"
"Acanthaceae","Trichocalyx"
"Acanthaceae","Trichosanchezia"
"Acanthaceae","Tubiflora"
"Acanthaceae","Tyloglossa"
"Acanthaceae","Ulleria"
"Acanthaceae","Vavara"
"Acanthaceae","Vindasia"
"Acanthaceae","Volkensiophyton"
"Acanthaceae","Whitfieldia"
"Acanthaceae","Xantheranthemum"
"Acanthaceae","Xanthostachya"
"Acanthaceae","Xenacanthus"
"Acanthaceae","Xerothamnella"
"Acanthaceae","Yeatesia"
"Acanthaceae","Zygoruellia"
"Family","Genus"
"Achariaceae","Acharia"
"Achariaceae","Baileyoxylon"
"Achariaceae","Bergsmia"
"Achariaceae","Buchnerodendron"
"Achariaceae","Caloncoba"
"Achariaceae","Camptostylus"
"Achariaceae","Carpotroche"
"Achariaceae","Ceratiosicyos"
"Achariaceae","Chiangiodendron"
"Achariaceae","Chilmoria"
"Achariaceae","Chlorocarpa"
"Achariaceae","Dasylepis"
"Achariaceae","Dasypetalum"
"Achariaceae","Dendrostylis"
"Achariaceae","Eleutherandra"
"Achariaceae","Erythrospermum"
"Achariaceae","Grandidiera"
"Achariaceae","Guthriea"
"Achariaceae","Gynocardia"
"Achariaceae","Hydnocarpus"
"Achariaceae","Kiggelaria"
"Achariaceae","Lindackeria"
"Achariaceae","Mayna"
"Achariaceae","Mocquerysia"
"Achariaceae","Pangium"
"Achariaceae","Paraphyadanthe"
"Achariaceae","Peterodendron"
"Achariaceae","Poggea"
"Achariaceae","Prockiopsis"
"Achariaceae","Pyramidocarpus"
"Achariaceae","Rawsonia"
"Achariaceae","Ryparosa"
"Achariaceae","Scaphocalyx"
"Achariaceae","Scottellia"
"Achariaceae","Taraktogenos"
"Achariaceae","Trichadenia"
"Achariaceae","Xylotheca"
"Achatocarpaceae","Achatocarpus"
"Achatocarpaceae","Phaulothamnus"
"Acoraceae","Acorus"
"Acrobolbaceae","Acrobolbus"
"Acrobolbaceae","Austrolophozia"
"Acrobolbaceae","Enigmella"
"Acrobolbaceae","Goebelobryum"
"Acrobolbaceae","Gymnanthe"
"Acrobolbaceae","Lethocolea"
"Acrobolbaceae","Marsupidium"
"Acrobolbaceae","Podanthe"
"Acrobolbaceae","Symphyomitra"
"Acrobolbaceae","Tylimanthus"
