"Sampsonius dampfi","Xylosandrus compactus","Xyleborus posticus","Xyleborus glabratus","Xyleborus seriatus","Xyleborus xylographus","Coptoborus pseudotenuis","Xyleborus ferrugineus","Ambrosiodmus obliquus","mutillatus","Xyleborus germanus"
0.980429190396938,0.668192561685962,0.481730104229556,0.998266051548167,0.452930654351561,0.939373075101766,0.983767125056905,0.965364358341645,0.373694830750256,0.544841636784435,0.616524659871242
0.978614466882159,0.662852407889568,0.474858912576139,0.99808103446796,0.446992792563508,0.934430949241185,0.982463085919931,0.963899954125323,0.366729883248906,0.53758198501373,0.612785471499661
0.976698968044388,0.65763660837755,0.468208223341604,0.997882931250331,0.441252041344916,0.929285686246396,0.981101205693823,0.962423853402558,0.36003196289831,0.53053047223897,0.609148620036965
0.974681074341431,0.652539845554838,0.461766846077582,0.99767126325575,0.435697635999982,0.923939864573004,0.979681078461443,0.960936501458485,0.353585658786347,0.523677787556299,0.605608715796426
0.972559283926773,0.647557148064074,0.45552437388805,0.997445550764744,0.430319636199655,0.91839650377053,0.978202341967847,0.959438324567182,0.347376742351289,0.517015193500564,0.602160791465184
0.970332215565667,0.642683860005677,0.449471113092531,0.997205313188451,0.425108844657122,0.912659050321197,0.976664677331005,0.957929731323914,0.34139205461961,0.510534480536187,0.598800258428722
0.967998611401342,0.637915613634419,0.443598020616411,0.996950069280749,0.420056735604734,0.906731361907478,0.975067808757991,0.956411113844458,0.335619406263069,0.504227926014765,0.595522868661835
0.965557339552285,0.633248305057908,0.437896648102708,0.996679337352226,0.415155391680698,0.900617690186471,0.973411503261348,0.954882848848177,0.330047488786896,0.498088257072597,0.592324681348773
0.963007396522377,0.628678072537931,0.432359091890981,0.996392635486234,0.410397448060562,0.894322662164229,0.971695570371041,0.953345298639055,0.324665795413191,0.492108617014327,0.589202033539541
0.960347909406544,0.624201277057527,0.426977948134496,0.996089481757201,0.405776042853695,0.887851260276754,0.969919861837912,0.951798811996825,0.319464550433738,0.486282534790233,0.586151514265718
0.957578137875554,0.619814484867648,0.421746272431424,0.995769394451379,0.40128477293705,0.881208801296316,0.968084271325095,0.950243724988625,0.314434645982265,0.480603897226485,0.583169941633671
0.954697475924605,0.615514451769448,0.416657543433367,0.99543189229016,0.396917654524012,0.874400914191914,0.966188734084277,0.94868036171015,0.309567585323785,0.475066923711611,0.580254342490112
0.95170545337148,0.611298108923397,0.411705629968205,0.995076494656064,0.392669087870231,0.867433517081168,0.964233226614069,0.947109034964092,0.304855431883168,0.469666143079832,0.577401934318219
0.948601737091216,0.607162550005756,0.406884761276431,0.994702721821497,0.388533825605069,0.860312793417485,0.962217766298163,0.945530046882617,0.300290763340342,0.464396372463914,0.574610109074701
0.945386131975491,0.603105019557637,0.402189500012886,0.994310095180323,0.384506944249885,0.853045167561099,0.960142411021222,0.943943689499759,0.295866630208933,0.459252697917653,0.571876418721382
0.942058581606274,0.599122902392624,0.397614717710683,0.993898137482309,0.380583818545321,0.845637279885498,0.958007258760787,0.942350245278889,0.291576518391293,0.454230456631755,0.569198562240872
