"Ambrosiodmus obliquus","Xyleborus glabratus","Xyleborus xylographus","Xyleborus germanus"
0.567047385922647,0.979945887009821,0.729514129483618,0.991492931494334
0.562459124701664,0.979072260857264,0.722443839643866,0.991249270645314
0.557938857109142,0.978177316221956,0.715384600486734,0.991003036912576
0.553485181019208,0.977260977030417,0.708339654034718,0.990754250829165
0.549096729176708,0.976323172893656,0.701312107351979,0.990502932553411
0.544772168301477,0.975363839091324,0.694304933660685,0.990249101883663
0.54051019820657,0.974382916555584,0.68732097372737,0.989992778272208
0.53630955093165,0.973380351854575,0.680362937496747,0.989733980838437
0.532168989892489,0.97235609717536,0.67343340595096,0.989472728381307
0.528087309047332,0.971310110306249,0.666534833172958,0.989209039391138
0.524063332080717,0.970242354618416,0.659669548593353,0.988942932060808
0.520095911605174,0.969152799046706,0.65283975940094,0.988674424296371
0.516183928381104,0.968041418069557,0.646047553097849,0.988403533727132
0.512326290555036,0.966908191687966,0.63929490018118,0.988130277715235
0.508521932916343,0.965753105403419,0.632583656933825,0.987854673364767
0.504769816172443,0.964576150194727,0.625915568308088,0.98757673753043
0.501068926242405,0.963377322493711,0.619292270886625,0.987296486825799
0.497418273568862,0.962156624159678,0.612715295906112,0.987013937631181
0.493816892448042,0.960914062452639,0.606186072329981,0.986729106101122
0.490263840377715,0.959649650005227,0.599705929957419,0.986442008171563
0.4867581974228,0.958363404793277,0.59327610255673,0.986152659566668
0.483299065598358,0.95705535010502,0.586897731012025,0.985861075805355
0.479885568269658,0.955725514508877,0.580571866473003,0.98556727220753
0.476516849569006,0.954373931819814,0.574299473498464,0.985271263900056
0.473192073828986,0.953000641064234,0.568081433184906,0.984973065822456
0.469910425031761,0.951605686443385,0.561918546272378,0.984672692732383
0.466671106274093,0.950189117295276,0.555811536220452,0.98437015921085
0.463473339247679,0.948750988055077,0.549761052247872,0.984065479667249
0.46031636373447,0.947291358213989,0.543767672330116,0.983758668344158
0.457199437116571,0.945810292276598,0.537831906149717,0.983449739321956
