"Euwallacea fornicatus","Xylosandrus morigerus","Xyleborus seriatus","Ambrosiodmus obliquus","Ambrosiodmus rubricollis","Xyleborus obesus","Coptoborus pseudotenuis","Xyleborus germanus","Xyleborinus saxeseni","Xyleborus xylographus","Xylosandrus crassiusculus","Ambrosiodmus tachygraphus","Xyleborus affinis","Euwallacea validus","mutillatus","Xyleborus ferrugineus","Xylosandrus compactus","Xyleborus posticus","Xyleborus glabratus","Sampsonius dampfi"
0.666347332592258,0.787161989147078,0.483831735306718,0.327870848128441,0.770567781068551,0.328764951275533,0.922531593355584,0.582948832623123,0.623285697231342,0.948612311099154,0.782225615431304,0.62959870676351,0.664721521674155,0.824341673023023,0.598041614666129,0.679639200847631,0.6222055951746,0.36148650432499,0.99931844012345,0.730605345521939
0.656142431380191,0.779207076325829,0.471093585730836,0.316031999774635,0.755161218141134,0.315177156676619,0.914963958234415,0.574086213337521,0.61248269783216,0.941391748924243,0.776093899406436,0.609577894467524,0.658768525776264,0.814837519883707,0.583453417351446,0.671420763865771,0.611153610392336,0.350946665458345,0.999184061139918,0.711411684223031
0.646354734918058,0.771488319611313,0.459078606002609,0.305048476986902,0.739957894514469,0.302608344673397,0.907194725626367,0.565658759890469,0.602160917414157,0.93369532848702,0.770181646284821,0.590292690789886,0.653090987824472,0.805486138899665,0.569517884909006,0.663548874345329,0.600592896726872,0.341108683423412,0.999032671414706,0.692528301763856
0.636954253021544,0.763991808079169,0.44772364640049,0.294829380489746,0.724980428788552,0.29095109472306,0.899241116360115,0.557628355340999,0.592283822764069,0.925535310430114,0.764472261604258,0.571735557108287,0.647664137644482,0.796287417750277,0.556194363260742,0.655995896886081,0.590486621435396,0.331900100759663,0.998863192624097,0.673995892618511
0.627914194665275,0.756704973947998,0.436972990350358,0.285296381632268,0.710247363126163,0.28011227360074,0.891119777835158,0.549961708728742,0.582818899050883,0.916926153154372,0.758951108871968,0.553893933283438,0.642466481810545,0.787240782578298,0.543445285968084,0.64873749736907,0.58080193752711,0.323258491111626,0.998674541097117,0.655847147820031
0.619210509810531,0.749616407558057,0.426777255899174,0.276381604914102,0.695773666866431,0.270010778462879,0.882846780453984,0.542629562133933,0.573737066018682,0.907884344218809,0.753605199058709,0.536751465654909,0.637479240781699,0.778345280151566,0.53123591910863,0.641752120298329,0.571509414164114,0.31512973417266,0.998465628607659,0.638107714207794
0.610821513536009,0.74271570528662,0.417092492125766,0.268025927417192,0.681571183008091,0.260575687094008,0.874437613930626,0.535606056260359,0.56501219952341,0.898428219790818,0.748422941031581,0.520289005293691,0.632685903235875,0.769599645595587,0.519534124607714,0.63502056808953,0.562582568329019,0.307466642113466,0.998235363160195,0.62079707691156
0.602727574806174,0.735993343307179,0.407879430218937,0.260177601856337,0.667649024347194,0.25174473376834,0.865907184147918,0.528868217572342,0.556620735820691,0.888577774071075,0.743393938852686,0.504485415744706,0.628071869264938,0.761002358593468,0.508310142165763,0.628525658931425,0.553997476311762,0.300227855320974,0.997982649773391,0.603929364626911
0.59491085658531,0.729440571868753,0.399102858417284,0.252791133207972,0.654013924997193,0.243463046900733,0.857269811026183,0.522395539783671,0.548541341586815,0.878354460918135,0.738508825569719,0.489318223195344,0.623624161822348,0.752551690274843,0.497536389254279,0.622251945946365,0.54573244880634,0.293376946814058,0.997706391265221,0.587514078989969
0.58735509716207,0.723049326044465,0.390731096983775,0.245826355769798,0.64067055222069,0.235682098295262,0.848539227708996,0.516169639401668,0.540754636685526,0.867780990096707,0.7337591257425,0.474764136656066,0.619331191214887,0.744245742520017,0.487187278270393,0.616185484705429,0.537767757207109,0.286881690021257,0.997405489042472,0.571556750725894
