"Xyleborus glabratus","Xylosandrus compactus","Coptoborus pseudotenuis","Sampsonius dampfi"
0.999422487932157,0.965783437575933,0.999749980128792,0.999928829721781
0.999375726261024,0.964836392754763,0.999726488616812,0.99992014709955
0.999326263263492,0.96388442365783,0.999701344060403,0.999910617716781
0.999274003209238,0.962927655915379,0.999674467578252,0.999900178856536
0.999218849064433,0.961966211480036,0.999645778251514,0.999888764570065
0.999160702506396,0.961000208804895,0.999615193116057,0.999876305580818
0.999099463938323,0.960029763009289,0.999582627155109,0.999862729187736
0.999035032504128,0.959054986033318,0.999547993292334,0.999847959167864
0.9989673061034,0.958075986782103,0.999511202385333,0.999831915678303
0.998896181406496,0.957092871260635,0.999472163219582,0.99981451515755
0.998821553869793,0.956105742699986,0.999430782502816,0.999795670226245
0.998743317751097,0.95511470167561,0.999386964859867,0.999775289587375
0.998661366125245,0.954119846218336,0.999340612827971,0.999753277925959
0.998575590899895,0.95312127191865,0.999291626852546,0.999729535808269
0.998485882831535,0.952119072024776,0.999239905283463,0.999703959580622
0.998392131541706,0.951113337535025,0.999185344371811,0.999676441267784
0.998294225533472,0.950104157284842,0.999127838267178,0.999646868471038
0.99819205220813,0.949091618028944,0.999067279015451,0.999615124265966
0.998085497882197,0.9480758045189,0.999003556557161,0.99958108709999
0.997974447804652,0.947056799576474,0.998936558726374,0.999544630689734
0.997858786174483,0.946034684163042,0.998866171250147,0.999505623918256
0.997738396158516,0.945009537445334,0.998792277748567,0.999463930732223
0.997613159909566,0.943981436857769,0.998714759735385,0.999419410039071
0.997482958584897,0.942950458161597,0.998633496619259,0.999371915604246
0.997347672365019,0.941916675501073,0.998548365705627,0.99932129594856
0.997207180472823,0.940880161456836,0.998459242199219,0.999267394245772
0.997061361193063,0.939840987096699,0.998365999207231,0.999210048220439
0.996910091892206,0.938799222023985,0.998268507743176,0.999149090046143
0.996753249038643,0.937754934423584,0.998166636731431,0.999084346244158
0.996590708223282,0.936708191105861,0.998060253012491,0.999015637582665
0.996422344180531,0.935659057548545,0.997949221348959,0.99894277897659
0.996248030809669,0.934607597936723,0.997833404432281,0.998865579388176
0.996067641196629,0.933553875201052,0.99771266289025,0.998783841728387
0.995881047636189,0.932497951054284,0.997586855295295,0.998697362759245
0.995688121654579,0.931439886026216,0.997455838173579,0.998605932997219
0.995488734032524,0.93037973949714,0.997319466014915,0.998509336617782
0.995282754828708,0.929317569729883,0.997177591283539,0.998407351361252
0.995070053403691,0.928253433900515,0.997030064429734,0.998299748440051
0.994850498444263,0.927187388127805,0.99687673390235,0.998186292447507
0.994623957988256,0.926119487501471,0.996717446162224,0.998066741268346
0.994390299449811,0.925049786109316,0.996552045696526,0.997940845991009
0.994149389645114,0.923978337063288,0.996380375034054,0.997808350821948
0.993901094818592,0.922905192524526,0.996202274761496,0.997668993002057
0.993645280669591,0.921830403727456,0.996017583540678,0.997522502725401
0.99338181237953,0.920754021002958,0.99582613812682,0.997368603060398
0.993110554639529,0.919676093800681,0.995627773387828,0.99720700987365
0.992831371678537,0.91859667071053,0.99542232232463,0.997037431756586
0.992544127291931,0.917515799483369,0.995209616092587,0.996859569955105
0.992248684870622,0.916433527050979,0.994989484023998,0.996673118302427
0.991944907430645,0.915349899545312,0.994761753651713,0.996477763155331
0.991632657643249,0.914264962317062,0.994526250733887,0.996273183334004
0.991311797865481,0.913178759953598,0.994282799279885,0.996059050065704
0.990982190171275,0.912091336296284,0.994031221577359,0.995835026932464
0.990643696383034,0.911002734457207,0.993771338220529,0.995600769823055
0.990296178103715,0.909912996835352,0.993502968139672,0.995355926889455
0.989939496749411,0.908822165132241,0.99322592863185,0.995100138508048
0.989573513582439,0.907730280367062,0.992940035392887,0.994833037245813
0.989198089744915,0.906637382891312,0.99264510255063,0.994554247831748
0.988813086292839,0.905543512402967,0.992340942699492,0.994263387133799
0.98841836423066,0.904448707960215,0.992027366936314,0.993960064141546
0.988013784546351,0.903353007994756,0.991704184897549,0.993643879954933
0.987599208246955,0.902256450324695,0.991371204797798,0.993314427779308
0.987174496394631,0.901159072167036,0.991028233469706,0.992971292927073
0.986739510143176,0.900060910149814,0.99067507640524,0.992614052826217
0.986294110775025,0.898962000323852,0.990311537798361,0.992242277036039
0.985838159738728,0.897862378174179,0.989937420589104,0.991855527270367
0.985371518686887,0.896762078631118,0.989552526509093,0.991453357428557
0.984894049514563,0.895661136081049,0.989156656128478,0.99103531363461
0.984405614398132,0.894559584376867,0.988749608904344,0.990600934284704
0.983906075834588,0.893457456848154,0.988331183230565,0.99014975010346
0.983395296681297,0.892354786311054,0.987901176489149,0.989681284209276
0.982873140196166,0.891251605077885,0.987459385103056,0.989195052189039
0.982339470078252,0.890147944966489,0.987005604590521,0.988690562182546
0.981794150508774,0.889043837309325,0.986539629620873,0.988167314976973
