"Xyleborus posticus","Xyleborus glabratus","Sampsonius dampfi","Xylosandrus compactus","Xyleborus germanus","Xyleborus ferrugineus","Xyleborus obesus","Coptoborus pseudotenuis","Xyleborinus saxeseni","Xyleborus affinis","Euwallacea fornicatus","Ambrosiodmus rubricollis","mutillatus","Xylosandrus morigerus","Ambrosiodmus tachygraphus","Xylosandrus crassiusculus","Xyleborus seriatus","Xyleborus xylographus","Euwallacea validus","Ambrosiodmus obliquus"
0.34214475485146,0.998592619658491,0.659439094507718,0.584377464761838,0.553484304543433,0.649000234501586,0.290250738668582,0.910547852000877,0.578505967049707,0.639168662423438,0.649376953207343,0.702284104952495,0.574501660298617,0.761811361605158,0.570269451268502,0.770086228271634,0.464739863090456,0.932174818542195,0.802074594225923,0.294988714270672
0.333237320563097,0.998364383387371,0.641138693936357,0.574743906720035,0.545860308677814,0.6417939814189,0.279430324559865,0.903058191842513,0.569172745482199,0.63404470519032,0.640272103938737,0.68726377058764,0.56160023370734,0.754512656531076,0.552463113478128,0.764567137055514,0.453683090940404,0.924141690090499,0.793124070549049,0.285428569927583
0.324853724598586,0.998112444833755,0.623297674030455,0.565505309641403,0.538570912145602,0.63486279476977,0.269346642424483,0.895400762994449,0.560227683746481,0.629130726419992,0.631495721460187,0.672566021705858,0.549220776406001,0.747414402127023,0.535358362005496,0.759220073067789,0.443183000293775,0.915677871498474,0.784314630370013,0.276488742875682
0.316946300823408,0.9978356082303,0.605930947379873,0.556634638914067,0.531590109843391,0.628187079745576,0.259928756706408,0.887589579903462,0.551643524895817,0.624410099672511,0.623027317810378,0.658197647056408,0.537334278334247,0.740505984721767,0.51893542949619,0.754033805578702,0.433196817813263,0.906798319634775,0.775645682198911,0.268109920244782
0.309473203165223,0.997532679360093,0.58904822367726,0.548107505466587,0.524894811318251,0.621749319729197,0.251114399301667,0.879638264763344,0.543395755913202,0.619868135896334,0.614848289757771,0.64416291285807,0.52591365824309,0.733777694208456,0.503172651312362,0.748998252132002,0.423686181115893,0.897519739427677,0.767116333188527,0.260240184068778
0.302397521276804,0.997202466373758,0.572654785320644,0.539901826306344,0.518464416600041,0.615533784578075,0.242848704139227,0.871560034946225,0.535462245992988,0.615491789500311,0.606941685815208,0.630463938518278,0.514933630165161,0.727220615008054,0.488047105220228,0.744104319761635,0.414616568976162,0.887860417535612,0.758725439504991,0.252833885980021
0.295686555790926,0.99684378062004,0.556752174950362,0.531997539016971,0.512280467298364,0.609526289420779,0.23508315414237,0.863367691827781,0.527822943705764,0.611269418669645,0.599292009555955,0.617101023656039,0.504370576451151,0.720826534061751,0.473535121847516,0.739343773550571,0.405956819837142,0.877840047806339,0.750471648796579,0.245850722457917
0.28931122002848,0.996455437491135,0.541338801468924,0.524376360013603,0.506326357340519,0.603713993659201,0.227774700694374,0.855073611194671,0.520459621687722,0.607190588257112,0.591885052428699,0.604072932586499,0.494202428096178,0.714587862620336,0.459612689042094,0.734709126959618,0.397678722689578,0.867479550644922,0.742353436155897,0.23925496993274
0.283245542759343,0.996036257283719,0.526410471372135,0.51702157857959,0.500587091412767,0.598085232270449,0.220885023937127,0.846689735349147,0.513355660014692,0.603245906423038,0.58470775074928,0.591377141600478,0.484408552649704,0.708497569312734,0.446255769362122,0.730193549653345,0.389756667657646,0.856800888520148,0.734369134685109,0.233014848260242
0.277466252356575,0.995585066076287,0.511960852252494,0.509917880386372,0.495049081885483,0.592629373279653,0.214379908616893,0.83822756696811,0.506495861312336,0.599426888272109,0.577748062662935,0.579010053681734,0.474969649716283,0.702549122511728,0.433440546648223,0.725790789510989,0.382167346153191,0.845826879878428,0.726516961555375,0.227101988005098
0.271952426990473,0.995100696623197,0.497981875181978,0.503051195478177,0.489699977031709,0.587336696605675,0.208228715186051,0.829698164728528,0.499866292090372,0.595725841268218,0.570994861721825,0.56696718471797,0.465867653867705,0.696736440421605,0.421143614878343,0.721495106229361,0.374889492420196,0.834581013709266,0.718795040282458,0.221490982220665
0.266685198771297,0.994581989265532,0.484464082393283,0.496408566689569,0.484528514879696,0.582198290489262,0.202403929796129,0.821112140675619,0.493454145890914,0.592135768354816,0.564437844378556,0.555243324757546,0.457085644669399,0.691053847624576,0.409342120207078,0.717301214469043,0.367903659826973,0.823087266923906,0.711201419808085,0.21615900742796
0.261647502244297,0.994027792858734,0.471396926300386,0.489978035231458,0.479524398207337,0.577205962483786,0.196880779919794,0.812479659282552,0.48724762469514,0.588650285574382,0.558067449206855,0.543832677427186,0.448607763454084,0.685496037064751,0.398013865174229,0.713204234911351,0.361192026476471,0.811369926576392,0.703734090872084,0.211085501593474
0.256823859565254,0.993436965716712,0.458769025466161,0.48374854078359,0.474678187084844,0.572352162583816,0.191636904802842,0.803810438129271,0.481235835700217,0.585263551641596,0.551874786061465,0.532728980245476,0.440419136438726,0.680058036637687,0.387137382472741,0.709199651914868,0.354738225670139,0.799453418782389,0.696391000076943,0.206251889311964
0.25220019618156,0.992808376572024,0.446568382664252,0.477709833908428,0.46998120606962,0.567629916530257,0.186652071912829,0.795113750112158,0.475408701104864,0.581970207433943,0.545851573706862,0.521925608233995,0.432505803766428,0.674735179702888,0.376691984342559,0.705283276710621,0.348527197533934,0.787362145984438,0.689170061979435,0.201641346283993
0.247763682016866,0.992140905551493,0.434782569715155,0.471852398981569,0.465425463703472,0.56303276769492,0.181907932126841,0.786398427084754,0.469756878960111,0.578765323758983,0.539990084697783,0.511415662935764,0.424854654055615,0.669523078955455,0.366657792560467,0.701451215271537,0.342545058738442,0.775120333981774,0.682069169489706,0.197238596662379
0.243502594083165,0.991433445166531,0.423398883317592,0.466167386139346,0.461003582393178,0.558554726235514,0.177387807670162,0.777672864821924,0.464271693476567,0.575644356067275,0.534283096498382,0.501192048693874,0.417453364049555,0.664417603188318,0.357015753089282,0.697699840147434,0.336778987750685,0.762751889897106,0.675086202813925,0.193029738019019
0.239406197179862,0.990684901317265,0.412404475656257,0.460646550991202,0.456708737097886,0.554190224441796,0.173076507844528,0.768945029194973,0.458945073449079,0.572603105024362,0.52872384799175,0.491247537817119,0.410290342976303,0.659414856553343,0.347747638701192,0.694025765680818,0.331217123467663,0.750280272000121,0.668219037140296,0.189002089622894
0.235464639927639,0.989894194309427,0.401786463152751,0.455282201045423,0.452534601520762,0.549934077377984,0.168960168419164,0.760222463442892,0.453769497678374,0.569637682049472,0.523306000665969,0.481574826060509,0.403354681249922,0.654511159992107,0.338836042272985,0.690425826118377,0.325848475419862,0.737728372055409,0.66146554923817,0.185144060473939
0.231668863858187,0.989060259882862,0.39153201634208,0.450067147961292,0.448475300722911,0.545781448075497,0.165026111238747,0.751512296424588,0.448737946447563,0.566744479083966,0.518023603873034,0.472166579673253,0.396636103166637,0.649703034558182,0.330264362942945,0.686897056213503,0.320662844011725,0.725118410617854,0.654823623115097,0.181445034145709
0.22801052366366,0.988182050250366,0.381628433504506,0.444994664876085,0.444525369256321,0.541727816651085,0.161262721160467,0.74282125173834,0.443843858257681,0.563920141977701,0.512871063647771,0.463015475112561,0.390124923273082,0.644987186394829,0.322016786901634,0.68343667398059,0.315650749496853,0.712471845466782,0.648291154855796,0.177895267983139
0.224481917021146,0.98725853514547,0.372063200362181,0.440058448167325,0.440679714058127,0.537768952824336,0.157659337891337,0.734155657597461,0.439081091147075,0.561161546982736,0.507843114649156,0.454114232385754,0.383812006107284,0.640360493166696,0.314078264245947,0.680042065315307,0.310803368577651,0.699809293156102,0.641866056749585,0.174485804603773
0.221075922661908,0.98628870287765,0.362824037861287,0.435252583103821,0.436933581467762,0.53390089138982,0.154206160675977,0.725521457354915,0.434443888019423,0.558465779926385,0.502934794849103,0.445455642863697,0.37768872903583,0.635819991773069,0.306434483044797,0.676710770239011,0.306112477679497,0.687150463464631,0.635546260798029,0.171208393980157
