"pd","t220","t96","t219","t138","t293","t117","t14","t176","t82","t38","t112","t228","t284","t193","t86","t250","t153","t168","t232","t8","t200","t252","t73","t202","t160","t218"
532,0.0094485359033272,0.0418885095711299,0.039743176659943,0.00789279813234278,0.0314278171905763,0.056027807000117,0.0397445065774571,0.0555008059842549,0.00827190746730306,0.0546238358001732,0.0335502080102478,0.0488871405501935,0.0653767211972198,0.0600852033942655,0.0586126317523136,0.0755804854313732,0.00926756735347052,0.00926756735347095,0.0334870796273112,0.0334870796273114,0.0393960618189319,0.0383075463596016,0.0419547763598243,0.0419547763598242,0.0389906546120417,0.0389906546120418
533,0.00942446984597668,0.0418545718289527,0.0397087194163721,0.00787142823608778,0.0313861017257904,0.0560011329212169,0.0397022615896509,0.0554734710587679,0.00825001442837673,0.0545962105057273,0.0335165700221731,0.0488570525715972,0.0653567826455557,0.0600611800256886,0.0585877151054054,0.075567668444216,0.00924429859756127,0.0092442985975617,0.0334536211316743,0.0334536211316745,0.0393583902563505,0.0382669434480044,0.0419163599772499,0.0419163599772498,0.0389531859263722,0.0389531859263723
534,0.00940050935996933,0.041820723803361,0.0396743551988926,0.00785015556162939,0.0313445177354077,0.0559745206597237,0.0396601385658706,0.0554461999113948,0.00822821965123309,0.0545686500234582,0.0334830274339522,0.0488270384028299,0.0653368870369881,0.0600372105689594,0.0585628549807168,0.0755548774267381,0.00922113109192532,0.00922113109192577,0.0334202574173145,0.0334202574173147,0.0393208236249654,0.0382264577100417,0.0418780490126673,0.0418780490126672,0.0389158217923782,0.0389158217923783
535,0.00937665378909328,0.0417869650920807,0.039640083585301,0.00782897948862935,0.0313030645651888,0.0559479699579406,0.0396181369309211,0.0554189922753047,0.00820652251493457,0.054541154081399,0.0334495797997861,0.048797097726531,0.0653170341992757,0.0600132948031473,0.0585380511452952,0.0755421122779857,0.00919806421067273,0.00919806421067317,0.0333869880416151,0.0333869880416153,0.0392833614399793,0.0381860885930937,0.0418398429833583,0.0418398429833582,0.038878561726492,0.0388785617264922
536,0.00935290248240934,0.0417532952953805,0.0396059041560855,0.00780789940183719,0.0312617415653414,0.0559214805597208,0.0395762561133716,0.0553918478852764,0.00818492240359817,0.0545137224092265,0.0334162266767771,0.0487672302272894,0.0652972239611875,0.059989432508636,0.0585133033675791,0.0755293728975844,0.00917509733292207,0.00917509733292251,0.0333538125648383,0.0333538125648385,0.0392460032197233,0.038145835548157,0.0418017414096999,0.0418017414096999,0.0388414052482689,0.038841405248269
537,0.00932925479419912,0.0417197140160519,0.0395718164944039,0.00778691469103937,0.0312205480904821,0.0558950522104562,0.0395344955455235,0.0553647664776849,0.00816341870634511,0.054486354738248,0.0333829676249039,0.0487374355916287,0.0652774561524943,0.0599656234671127,0.0584886114173867,0.0755166591857354,0.00915222984275128,0.00915222984275173,0.0333207305501017,0.0333207305501019,0.0392087484856311,0.0381056980298152,0.0417637438151394,0.0417637438151393,0.0388043518803612,0.0388043518803613
538,0.00930571008391369,0.0416862208593885,0.0395378201860619,0.00776602475100888,0.0311794834995988,0.0558686846570649,0.0394928546633796,0.0553377477904896,0.00814201081725124,0.0544590508013889,0.0333498022069985,0.0487077135079911,0.0652577306039615,0.0599418674615589,0.0584639750659059,0.0755039710432107,0.00912946112914922,0.00912946112914966,0.0332877415633537,0.0332877415633539,0.0391715967622135,0.0380656754962085,0.0417258497261686,0.0417258497261685,0.0387674011484928,0.0387674011484929
539,0.00928226771612293,0.0416528154331655,0.0395039148194914,0.00774522898145554,0.0311385471560128,0.0558423776479792,0.039451332906613,0.0553107915632218,0.00812069813529777,0.0544318103331795,0.033316729988722,0.0486780636667224,0.0652380471473414,0.0599181642762393,0.0584393940856831,0.0754913083713491,0.00910679058596748,0.00910679058596792,0.0332548451733511,0.0332548451733513,0.0391345475770327,0.0380257674090041,0.0416880586722994,0.0416880586722993,0.0387305525814339,0.038730552581434
540,0.00925892706046538,0.0416194973476197,0.0394700999857289,0.00772452678697678,0.0310977384273418,0.0558161309331341,0.0394099297185367,0.0552838975369718,0.00809948006432281,0.0544046330697428,0.033283750538541,0.0486484857600573,0.0652184056153653,0.0598945136966928,0.0584148682506128,0.0754786710720516,0.00908421761187306,0.00908421761187349,0.0332220409516346,0.0332220409516348,0.0390976004606776,0.0379859732333668,0.0416503701860384,0.0416503701860383,0.0386938057109757,0.0386938057109758
541,0.00923568749159867,0.0415862662154295,0.0394363752783943,0.0077039175770091,0.0310570566854633,0.055789944263955,0.0393686445460734,0.0552570654543774,0.00807835601297337,0.0543775187487818,0.033250863427705,0.0486189794821035,0.0651988058417363,0.0598709155097218,0.0583903973359271,0.0754660590477777,0.00906174161030134,0.00906174161030176,0.0331893284725066,0.0331893284725068,0.0390607549467383,0.0379462924379302,0.0416127838028629,0.0416127838028629,0.0386571600719053,0.0386571600719055
542,0.00921254838915063,0.0415531216516952,0.0394027402936703,0.00768340076578,0.0310165013064781,0.0557638173933468,0.0393274768397253,0.0552302950596115,0.00805732539465792,0.0543504671095673,0.0332180682302227,0.0485895445288279,0.065179247661122,0.0598473695033833,0.0583659811181855,0.0754534722015404,0.00903936198940978,0.0090393619894102,0.0331567073130084,0.0331567073130086,0.0390240105717822,0.0379067244947676,0.0415752990611965,0.0415752990611965,0.0386206152019819,0.0386206152019821
543,0.00918950913767081,0.0415200632739195,0.0393691946302809,0.00766297577226063,0.0309760716706744,0.0557377500756818,0.0392864260535449,0.05520358609837,0.00803638762749955,0.0543234778929256,0.0331853645228399,0.0485601805980411,0.0651597309091466,0.0598238754669783,0.0583416193752644,0.0754409104369028,0.00901707816203209,0.00901707816203251,0.0331241770528971,0.0331241770528973,0.038987366875329,0.0378672688793638,0.041537915502385,0.0415379155023849,0.0385841706419116,0.0385841706419117
544,0.00916656912658269,0.0414870907019881,0.0393357378894714,0.00764264202011874,0.030935767162492,0.0557117420667887,0.0392454916451053,0.0551769383178605,0.00801554213428959,0.0542965508412264,0.0331527518850163,0.0485308873893834,0.0651402554223845,0.0598004331910431,0.0583173118863472,0.0754283736579736,0.00899488954563283,0.00899488954563325,0.0330917372746235,0.0330917372746237,0.0389508233998269,0.0378279250705864,0.0415006326706724,0.0415006326706723,0.0385478259353237,0.0385478259353238
545,0.00914372775013633,0.0414542035581505,0.0393023696749877,0.00762239893767248,0.030895587170487,0.0556857931239411,0.0392046730754712,0.0551503514667899,0.00799478834244184,0.0542696856983706,0.0331202298989038,0.0485016646043101,0.065120821038352,0.0597770424673393,0.0582930584319139,0.0754158617694031,0.0089727955622627,0.00897279556226313,0.0330593875633102,0.0330593875633104,0.0389143796906286,0.0377886925506587,0.041463450113178,0.0414634501131779,0.0385115806287467,0.0385115806287468
546,0.0091209844073617,0.0414214014670013,0.0392690895930563,0.00760224595784446,0.0308555310872975,0.0556599030058464,0.0391639698091705,0.0551238252953532,0.00797412568394737,0.054242882209779,0.033087798149324,0.0484725119460776,0.0651014275955011,0.0597537030888445,0.0582688587937315,0.075403374676379,0.00895079563851424,0.00895079563851466,0.0330271275067293,0.0330271275067295,0.0388780352959674,0.0377495708051315,0.0414263673798724,0.0414263673798723,0.0384754342715847,0.0384754342715849
547,0.00909833850202237,0.041388684055461,0.039235897252364,0.00758218251811657,0.0308155983096084,0.0556340714726348,0.0391233813141655,0.055097359555222,0.00795355359532969,0.0542161401223798,0.0330554562237466,0.0484434291197288,0.0650820749332118,0.059730414849743,0.0582447127548439,0.0753909122846229,0.00892888920547803,0.00892888920547844,0.0329949566952812,0.0329949566952814,0.0388417897669344,0.0377105593228557,0.0413893840235549,0.0413893840235548,0.0384393864160943,0.0384393864160944
