"pd","t225","t140","t175","t27","t172","t86","t275","t219","t66","t158","t231","t8","t59","t252","t90","t105","t125","t226","t242","t136","t238","t114"
510,0.0134702811830776,0.323073029830021,0.00517143767928397,0.343359654493788,0.00495511649391066,0.00360817491184484,0.00442383295688833,0.00442383295688833,0.00503105187915245,0.00534581423965158,0.28558072713314,0.285580727133139,0.00522469123830925,0.00522469123830925,0.00537638471606647,0.00537638471606647,0.00363385980294766,0.00363385980294766,0.00508639992161325,0.00508639992161325,0.00505463953336082,0.0050546395333608
511,0.0134180155728571,0.323013302889817,0.00514996737261288,0.34332400196869,0.00493427536363153,0.00359111801298782,0.00440454375402596,0.00440454375402597,0.00500997737645818,0.00532382130731357,0.2854849042949,0.285484904294899,0.00520305546153007,0.00520305546153007,0.00535429888982169,0.00535429888982169,0.00361670825995623,0.00361670825995623,0.00506515367821794,0.00506515367821794,0.00503349036031529,0.00503349036031526
512,0.0133660514063291,0.32295369824706,0.00512862737904982,0.343288420770964,0.00491356186867266,0.00357417450486616,0.00438537568004818,0.00438537568004818,0.00498903157413246,0.0053019610227084,0.285389287679983,0.285389287679982,0.00518155076891269,0.00518155076891269,0.00533234613487571,0.00533234613487571,0.00359967060924268,0.00359967060924268,0.00504403693000318,0.00504403693000318,0.0050124702413689,0.00501247024136888
513,0.0133143863834665,0.322894215415599,0.00510741665972532,0.343252910619685,0.00489297498444975,0.00355734341755027,0.00436632774360735,0.00436632774360736,0.00496821344129545,0.00528023233347436,0.285293876452416,0.285293876452415,0.00516017611687635,0.00516017611687635,0.00531052539634278,0.00531052539634278,0.00358274587744634,0.00358274587744634,0.00502304864129347,0.00502304864129347,0.00499157814344258,0.00499157814344255
514,0.0132630182260172,0.322834853912151,0.00508633418601254,0.343217471235578,0.00487251369653773,0.00354062379124142,0.00434739896334251,0.00434739896334251,0.00494752195727057,0.00525863419758421,0.285198669781211,0.28519866978121,0.00513893047211784,0.00513893047211784,0.00528883562968967,0.00528883562968967,0.00356593310136579,0.00356593310136579,0.00500218778665131,0.00500218778665131,0.00497081304367716,0.00497081304367714
515,0.0132119446772586,0.322775613256281,0.00506537893940725,0.343182102341006,0.00485217700055101,0.00352401467614693,0.00432858836775998,0.00432858836775998,0.00492695611146445,0.00523716558322438,0.285103666840328,0.285103666840327,0.00511781281149098,0.00511781281149098,0.0052672758006147,0.0052672758006147,0.0035492313278337,0.0035492313278337,0.00498145335075685,0.00498145335075685,0.00495017392931315,0.00495017392931312
516,0.0131611635017553,0.322716492970377,0.00504454991140914,0.343146803659955,0.00483196390202526,0.00350751513235707,0.00430989499511574,0.00430989499511574,0.0049065149032485,0.00521582546867573,0.285008866808636,0.285008866808636,0.00509682212188782,0.00509682212188782,0.00524584488492835,0.00524584488492835,0.00353263961359359,0.00353263961359359,0.00496084432828907,0.00496084432828907,0.00492965979757208,0.00492965979757206
517,0.0131106724851196,0.322657492579632,0.00502384610340504,0.34311157491802,0.00481187341630103,0.00349112422972377,0.00429131789329935,0.00429131789329935,0.00488619734184201,0.00519461284219601,0.284914268869874,0.284914268869874,0.00507595740012142,0.00507595740012142,0.00522454186843568,0.00522454186843568,0.0035161570251782,0.0035161570251782,0.00494035972380877,0.00494035972380877,0.00490926965553959,0.00490926965553956
518,0.0130604694337757,0.322598611612019,0.00500326652655349,0.343076415842398,0.00479190456840872,0.0034748410477411,0.00427285611971952,0.00427285611971952,0.00486600244619693,0.00517352670190389,0.284819872212612,0.284819872212611,0.0050552176528103,0.0050552176528103,0.00520336574682006,0.00520336574682006,0.00349978263878968,0.00349978263878968,0.00491999855164296,0.00491999855164296,0.00488900252005001,0.00488900252004998
519,0.0130105521747264,0.32253984959827,0.00498281020167099,0.343041326161872,0.00477205639295526,0.00345866467542725,0.0042545087411912,0.0042545087411912,0.00484592924488417,0.00515256605566444,0.284725676030214,0.284725676030213,0.00503460189626426,0.00503460189626426,0.00518231552552866,0.00518231552552866,0.00348351554018137,0.00348351554018137,0.00489975983577092,0.00489975983577092,0.00486885741757247,0.00486885741757245
