"Euwallacea validus","Sampsonius dampfi","Xyleborus obesus","Xyleborus seriatus"
0.877185957559652,0.997685555833641,0.286133959928078,0.71371753226243
0.876237231365707,0.997543740304231,0.284315361660259,0.711508591011801
0.875293044914527,0.997395008595389,0.282524179319295,0.70931467872628
0.87435334115049,0.997239109560614,0.280759753895625,0.707135627394221
0.87341806433514,0.997075786189086,0.2790214481948,0.704971271812909
0.872487160002267,0.996904775564856,0.277308645916787,0.702821449520903
0.871560574915002,0.996725808828734,0.275620750782499,0.700686000732665
0.870638257024818,0.99653861114302,0.273957185704719,0.698564768275357
0.869720155432328,0.996342901659208,0.272317392000742,0.696457597527722
0.868806220349789,0.99613839348882,0.27070082864428,0.694364336360943
0.867896403065216,0.995924793677505,0.269106971554325,0.692284835081413
0.866990655908017,0.995701803182564,0.267535312918809,0.690218946375318
