"Xyleborus ferrugineus","Xylosandrus compactus","Sampsonius dampfi","Xyleborus xylographus"
0.89246689732024,1,0.237161710079361,0.232863345965121
0.891772252026152,1,0.234920556788361,0.229966424746764
0.891077287548074,1,0.232705590173055,0.227109648727711
0.89038201230696,1,0.230516491229385,0.224292519086341
0.889686434650358,1,0.228352943743556,0.221514538192866
0.888990562853179,1,0.22621463433259,0.218775209900896
0.888294405118449,1,0.224101252480899,0.216074039822316
0.887597969578053,1,0.22201249057307,0.213410535586081
0.886901264293465,1,0.219948043923044,0.210784207081531
0.886204297256469,1,0.217907610799843,0.208194566686799
0.885507076389867,1,0.215890892450029,0.205641129482916
0.884809609548179,1,0.213897593117044,0.203123413454143
0.884111904518327,1,0.211927420057576,0.200640939675111
0.883413969020317,1,0.209980083555116,0.198193232485279
0.882715810707902,1,0.208055296930834,0.19577981965125
0.882017437169244,1,0.206152776551906,0.193400232517452
0.881318855927556,1,0.204272241837446,0.191054006145671
0.880620074441747,1,0.202413415262133,0.188740679443923
0.879921100107043,1,0.200576022357688,0.186459795285132
0.879221940255617,1,0.198759791712292,0.18421090061607
0.878522602157191,1,0.196964454968072,0.181993546556991
0.877823093019642,1,0.195189746816752,0.179807288492391
0.877123419989599,1,0.19343540499357,0.177651686153299
0.876423590153024,1,0.191701170269576,0.175526303691514
0.87572361053579,1,0.189986786442377,0.17343070974614
0.875023488104253,1,0.188292000325447,0.171364477502832
0.874323229765813,1,0.186616561736067,0.169327184746076
0.873622842369466,1,0.184960223481992,0.167318413904871
0.872922332706351,1,0.183322741346916,0.165337752092134
0.87222170751029,1,0.18170387407481,0.163384791138157
0.871520973458319,1,0.180103383353214,0.161459127618417
0.870820137171215,1,0.178521033795543,0.159560362876049
0.870119205214007,1,0.176956592922474,0.157688103039248
0.869418184096495,1,0.175409831142489,0.155841959033899
0.86871708027375,1,0.173880521731609,0.154021546591673
0.86801590014661,1,0.17236844081241,0.152226486253864
0.867314650062176,1,0.170873367332347,0.1504564033712
0.866613336314292,1,0.169395083041453,0.148710928099857
0.865911965144026,1,0.167933372469461,0.146989695393905
0.865210542740142,1,0.166488022902396,0.145292344994404
0.864509075239567,1,0.165058824358678,0.143618521415342
0.863807568727851,1,0.163645569564788,0.141967873926622
0.863106029239622,1,0.162248053930531,0.140340056534278
0.862404462759036,1,0.160866075523941,0.138734727958106
0.861702875220217,1,0.15949943504585,0.137151551606871
0.861001272507703,1,0.15814793580419,0.135590195551268
0.86029966045687,1,0.156811383688017,0.134050332494772
0.859598044854366,1,0.155489587141326,0.132531639742551
0.85889643143853,1,0.15418235713667,0.131033799168555
0.85819482589981,1,0.152889507148614,0.129556497180949
0.857493233881176,1,0.151610853127052,0.128099424685985
0.856791660978529,1,0.150346213470415,0.126662277050457
0.856090112741098,1,0.149095408998794,0.125244754062858
0.855388594671847,1,0.147858262926995,0.123846559893326
0.854687112227858,1,0.146634600837557,0.122467403052512
0.853985670820727,1,0.145424250653749,0.121106996349454
0.853284275816945,1,0.144227042612566,0.119765056848555
0.85258293253828,1,0.143042809237744,0.118441305825756
0.851881646262149,1,0.141871385312804,0.11713546872399
0.851180422221992,1,0.140712607854158,0.115847275107999
0.850479265607639,1,0.139566316084276,0.114576458618585
0.849778181565671,1,0.13843235140493,0.113322756926374
0.849077175199778,1,0.137310557370544,0.112085911685161
0.848376251571117,1,0.136200779661644,0.110865668484892
0.847675415698662,1,0.13510286605843,0.10966177680436
0.846974672559547,1,0.134016666414483,0.108473989963658
0.846274027089415,1,0.132942032630608,0.107302065076454
0.845573484182751,1,0.13187881862883,0.106145763002127
0.844873048693226,1,0.130826880326559,0.105004848297835
0.84417272543402,1,0.129786075610909,0.103879089170525
0.843472519178155,1,0.128756264313212,0.102768257428973
0.842772434658822,1,0.1277373081837,0.101672128435847
0.842072476569698,1,0.126729070866392,0.10059048105987
0.841372649565267,1,0.12573141787417,0.0995230976280916
0.840672958261133,1,0.124744216564063,0.0984697638783184
0.839973407234332,1,0.123767336112735,0.0974302689117207
0.839274001023642,1,0.122800647492194,0.0964044051456565
0.838574744129885,1,0.121844023445713,0.0953919682667284
0.83787564101623,1,0.120897338463975,0.0943927571841081
0.837176696108493,1,0.119960468761443,0.0934065739831438
0.83647791379543,1,0.119033292252961,0.0924332238792789
0.835779298429032,1,0.118115688530586,0.0914725151722956
0.835080854324813,1,0.11720753884065,0.090524259200906
0.834382585762097,1,0.116308726061066,0.0895882702977076
0.833684496984305,1,0.115419134678871,0.0886643657445152
0.832986592199228,1,0.114538650768001,0.0877523657280871
0.832288875579314,1,0.113667161967321,0.086852093296258
0.831591351261939,1,0.112804557458888,0.0859633743144892
0.83089402334968,1,0.111950727946461,0.0850860374228465
0.830196895910584,1,0.111105565634255,0.0842199139934199
0.829499972978438,1,0.110268964205945,0.0833648380881863
0.828803258553032,1,0.109440818803903,0.0825206464173293
0.828106756600423,1,0.108621026008695,0.0816871782980227
0.827410471053188,1,0.107809483818815,0.0808642756136777
0.826714405810693,1,0.107006091630663,0.0800517827736674
0.826018564739336,1,0.106210750218771,0.0792495466735266
0.825322951672804,1,0.105423361716276,0.0784574166556333
0.824627570412327,1,0.104643829595626,0.0776752444703777
0.823932424726915,1,0.10387205864954,0.0769028842378127
0.823237518353615,1,0.103107954972203,0.076140192409801
0.822542854997745,1,0.102351425940701,0.0753870277326455
0.821848438333137,1,0.101602380196702,0.0746432512102174
0.821154272002379,1,0.100860727628364,0.0739087260675714
0.820460359617045,1,0.100126379352489,0.0731833177150544
0.819766704757932,1,0.0993992476969114,0.0724668937129068
0.819073310975293,1,0.0986792461831112,0.0717593237363523
0.818380181789065,1,0.09796628950907,0.071060479541176
0.817687320689094,1,0.0972602935323511,0.0703702349297927
0.816994731135366,1,0.0965611752534088,0.0696884657177984
0.816302416558225,1,0.0958688527991264,0.0690150497010055
0.815610380358599,1,0.0951832454065756,0.0683498666229587
0.814918625908215,1,0.0945042734070019,0.0676927981429285
0.814227156549819,1,0.0938318582100295,0.0670437278043798
0.813535975597391,1,0.0931659222880848,0.0664025410039127
0.812845086336358,1,0.0925063891610362,0.0657691249606686
0.812154492023806,1,0.0918531833810506,0.0651433686862027
0.81146419588869,1,0.0912062305176598,0.0645251629548179
0.810774201132041,1,0.0905654571430393,0.0639144002743523
0.810084510927172,1,0.0899307908174944,0.0633109748574205
0.809395128419886,1,0.0893021600751524,0.0627147825931036
0.808706056728671,1,0.0886794944098584,0.0621257210190813
0.808017298944909,1,0.0880627242612738,0.0615436892942029
0.807328858133067,1,0.087451781001172,0.0609685881714942
0.806640737330903,1,0.0868465969199335,0.0604003199715928
0.805952939549652,1,0.0862471052132341,0.0598387885566078
0.805265467774229,1,0.0856532399689263,0.0592838993044015
0.804578324963414,1,0.0850649361541113,0.0587355590832842
0.803891514050047,1,0.0844821296023975,0.0581936762271187
0.803205037941216,1,0.0839047570013472,0.0576581605108325
0.802518899518441,0.999999999999999,0.083332755880104,0.0571289231263271
0.801833101637867,0.999999999999999,0.0827660645972032,0.0566058766587837
0.80114764713044,0.999999999999999,0.0822046223285606,0.0560889350633587
0.800462538802097,0.999999999999999,0.0816483690556377,0.0555780136422631
0.79977777943394,0.999999999999999,0.0810972455537807,0.0550730290222212
0.799093371782423,0.999999999999999,0.0805511933807333,0.0545738991323059
0.798409318579523,0.999999999999999,0.0800101548653175,0.0540805431821397
0.797725622532924,0.999999999999998,0.079474073096283,0.0535928816404625
0.797042286326185,0.999999999999998,0.0789428919113226,0.0531108362140576
0.79635931261892,0.999999999999998,0.078416555886249,0.0526343298270312
0.795676704046964,0.999999999999997,0.0778950103243339,0.0521632866004398
0.794994463222552,0.999999999999997,0.0773782012458067,0.0516976318322639
0.79431259273448,0.999999999999996,0.0768660753775073,0.0512372919777166
0.793631095148278,0.999999999999995,0.0763585801426963,0.050782194629889
0.792949973006378,0.999999999999995,0.075855663651016,0.0503322685007223
0.792269228828276,0.999999999999994,0.0753572746886016,0.0498874434023031
0.791588865110696,0.999999999999993,0.0748633627083413,0.0494476502284794
0.790908884327757,0.999999999999991,0.0743738778202821,0.0490128209367877
