"Coptoborus pseudotenuis","Euwallacea fornicatus","Ambrosiodmus tachygraphus","Xyleborus affinis"
0.966676622116853,0.919161012359979,0.985722416915066,0.999673733732011
0.962949522925845,0.914526773284451,0.983506139584514,0.999630739695338
0.959085614000546,0.909955544619539,0.981117831787865,0.99958520781417
0.955091459287143,0.905445121424726,0.978557072445465,0.999537151283226
0.9509733851699,0.900993483938214,0.975823794268748,0.999486582558903
0.946737501972876,0.896598770883958,0.972918270922347,0.999433513445861
0.942389721114448,0.892259257967763,0.969841104963811,0.999377955169886
0.93793576890574,0.887973340338612,0.966593216265624,0.999319918439758
0.933381197736904,0.883739518124292,0.963175830699291,0.999259413500217
0.928731395217158,0.87955638438192,0.959590468917991,0.999196450177657
0.923991591704143,0.875422614967987,0.95583893511801,0.999131037919787
0.919166866561198,0.871336959950709,0.951923305693251,0.999063185830296
0.914262153408166,0.867298236273855,0.947845917724217,0.998992902699294
0.909282244575603,0.863305321445345,0.943609357264451,0.998920197030204
0.904231794929311,0.859357148071955,0.939216447404972,0.998845077063614
0.899115325198606,0.855452699098086,0.934670236111393,0.99876755079854
0.893937224915401,0.851591003634558,0.929973983840022,0.998687626011448
0.888701755050266,0.847771133285217,0.92513115094861,0.998605310273338
0.88341305041496,0.843992198896121,0.920145384925033,0.998520610965143
0.878075121887446,0.840253347665586,0.91502050746328,0.998433535291657
0.872691858504573,0.836553760564028,0.909760501420861,0.998344090294166
0.867267029458699,0.832892650021144,0.904369497695416,0.998252282861937
